Ticker,Name,Price,NWCI,CFOA,D/E,PAT,Dependent variables,,,,,
HEXW IS Equity,Hexaware Technologies Ltd,261.95,539.583,4396649984,0,3799342336,1,,,,,
GPPV IS Equity,Gujarat Pipavav Port Ltd,155.95,-27.652,0,0,3437202944,1,,,,,
SYML IS Equity,Symphony Ltd,2532.5,-23.166,1247890048,0,956445504,1,,,,,
SWH IS Equity,JSW Holdings Ltd/India,1014,0,369806016,0,367102016,1,,,,,
ECLX IS Equity,eClerx Services Ltd,1318.5,271.46,2628900096,0,2050551424,1,,,,,
WIL IS Equity,WABCO India Ltd,5569,299.326,1369753984,0,1165832064,1,,,,,
ALST IS Equity,Alstom India Ltd,566.3,-3856.1,2180800000,0,610615616,1,,,,,
RIIL IS Equity,Reliance Industrial Infrastructure Ltd,435.95,-35.663,411470016,0,146412640,1,,,,,
SWE IS Equity,Swaraj Engines Ltd,853,75.611,715564032,0,409808416,1,,,,,
PG IS Equity,Procter & Gamble Hygiene & Health Care L,6229.1001,-2183.6,4995400192,0,3085426688,1,,,,,
HCP IS Equity,Hindustan Copper Ltd,49.15,1070.041,2917464064,0,129367792,1,,,,,
ENIL IS Equity,Entertainment Network India Ltd,730.95,48.643584,1042212800,0,866992000,1,,,,,
ASTR IS Equity,AstraZeneca Pharma India Ltd,1209.9,360.590419,-407785696,0,-263192576,0,,,,,
CRISIL IS Equity,CRISIL Ltd,1803.8,127.655177,2737689088,0,2540722176,1,,,,,
BJCOR IS Equity,Bajaj Corp Ltd,387.85,-111.81,2296171008,0,1849408640,1,,,,,
TELX IS Equity,Tata Elxsi Ltd,1978,-256.3,1483762944,0,1003310592,1,,,,,
MHSC IS Equity,Maharashtra Scooters Ltd,1190,-102.285,489992992,0,-81488000,0,,,,,
HWA IS Equity,Honeywell Automation India Ltd,8670.0996,0,0,0,1167347200,1,,,,,
NMDC IS Equity,NMDC Ltd,93.45,-4075.4,61859901440,0,49740541952,1,,,,,
AKZO IS Equity,Akzo Nobel India Ltd,1290.5,0,19085000704,0,1421299584,1,,,,,
ESAB IS Equity,ESAB India Ltd,539.85,0,0,0,216894096,1,,,,,
GILL IS Equity,Gillette India Ltd,4443.8999,704.4,1851600000,0,2159251968,1,,,,,
CLGT IS Equity,Colgate-Palmolive India Ltd,808.4,0,6656340992,0,5374345728,1,,,,,
CSTRL IS Equity,Castrol India Ltd,376.7,0,2672762112,0,5536735232,1,,,,,
KKC IS Equity,Cummins India Ltd,858.7,0,6159600128,0,5556388352,1,,,,,
FAG IS Equity,FAG Bearings India Ltd,3898.95,-84.9,1430700032,0,1611578240,1,,,,,
NACL IS Equity,National Aluminium Co Ltd,38.95,11190.3,10953299968,0,8226677760,1,,,,,
HZ IS Equity,Hindustan Zinc Ltd,171.55,-5371.2,62750101504,0,57926602752,1,,,,,
SANL IS Equity,Sanofi India Ltd,4396.5,-352.8680115,1736022912,0,2313810688,1,,,,,
TTSP IS Equity,Tata Sponge Iron Ltd,469.6,700.623,-1531000,0,598678016,1,,,,,
ACC IS Equity,ACC Ltd,1234.65,8.1,14384300032,0,6610202112,1,,,,,
MJS IS Equity,Munjal Showa Ltd,172,534.574429,521209952,0,697678016,1,,,,,
VST IS Equity,VST Industries Ltd,1680.5,0,1240193024,0,1399634432,1,,,,,
INFO IS Equity,Infosys Ltd,1145.35,-13868,82300000512,0,1.06E+11,1,,,,,
MOIL IS Equity,MOIL Ltd,205,726.592,3031236096,0,2227359232,1,,,,,
BATA IS Equity,Bata India Ltd,484.75,0,0,0,1448374144,1,,,,,
VI IS Equity,Vesuvius India Ltd,705,19.1,724300032,0,545492736,1,,,,,
CARE IS Equity,Credit Analysis & Research Ltd,910,44.235068,1513466624,0,1123176576,1,,,,,
